Disease,Symptoms
Bird flu (avian influenza),"Bird flu symptoms can be mild to serious in a person. Symptoms typically show up within seven days of contact with the virus but can take as long as two weeks. A person can get infected from direct contact with an infected animal, or the bedding or stool of the animal. Flu viruses have similar symptoms. So you need to be tested to check if you have a bird flu infection. Common bird flu symptoms include: Fever. Problems breathing. Pink eye, also called conjunctivitis. Upset stomach and vomiting. Loose stool, called diarrhea. Bird flu may cause breathing problems more often than other kinds of flu. And during bird flu pandemics, the risk that a person with flu will need a machine to help them breathe is higher. When to see a dotor If you have been exposed to bird flu and have any symptoms of illness, see a healthcare professional right away. If your work, travel or hobbies may have exposed you to bird flu, consider your symptoms. If you have symptoms of bird flu and may have been exposed, contact your healthcare professional. Request an appointment"
Knee bursitis,"Knee bursitis symptoms vary. They depend on which bursa is affected and what's causing the inflammation. The affected portion of your knee might feel warm, tender and swollen. You also might feel pain when you move or when you're at rest. A direct blow to the knee can cause symptoms to come on fast. But knee bursitis often stems from friction and irritation of the bursae. This can occur with jobs that require a lot of kneeling on hard surfaces. So, the symptoms can start slowly and become worse over time. When to see a doctor Sometimes, the bursa that lies over the kneecap can become infected. Call your healthcare professional if you have: A fever or chills along with pain and swelling in your knee. Long-lasting swelling or a change in the color of the skin around the knee. Trouble moving or extending your knee. Request an appointment There is a problem with
                                information submitted for this request. Review/update the
                                information highlighted below and resubmit the form. From Mayo Clinic to your inbox Sign up for free and stay up to date on research advancements, health tips, current health topics, and expertise on managing health. Click here for an email preview. Email Address 1 Error Email field is required Error Include a valid email address Learn more about Mayo Clinic’s use of data. We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in our Notice of Privacy Practices . You may opt out of email communications at any time by clicking on the unsubscribe link in the email. Subscribe! Thank you for subscribing! You'll soon start receiving the latest Mayo Clinic health information you requested in your inbox. Sorry something went wrong with your subscription Please, try again in a couple of minutes Retry"
Cytomegalovirus (CMV) infection,
Dystonia,"Dystonia affects different people in different ways. Muscle spasms might: Begin in a single area, such as your leg, neck or arm. Focal dystonia that begins after age 21 usually starts in the neck, arm or face. Although it tends to remain in the single area, it may spread to a neighboring area of the body. Occur during a specific action, such as writing by hand. Worsen with stress, fatigue or anxiety. Become more noticeable over time. Areas of the body that can be affected include: Neck. When the neck muscles are involved, it's called cervical dystonia. Contractions cause the head to twist and turn to one side. Or the head may pull forward or backward. Cervical dystonia sometimes causes pain. Eyelids. When muscles controlling eye blinks are involved, it's called blepharospasm. Rapid blinking or muscle spasms that cause your eyes to close make it hard to see. The muscle spasms usually aren't painful. They might increase in bright light or while reading, watching TV or interacting with people. They also might increase under stress. The eyes might feel dry, gritty or sensitive to light. Jaw or tongue. When the muscles of the jaw and tongue are affected, it's called oromandibular dystonia. It can cause slurred speech, drooling, and trouble chewing or swallowing. This type of dystonia can be painful. It often occurs with cervical dystonia or blepharospasm. Voice box and vocal cords. When the voice box or vocal cords are affected, it's called laryngeal dystonia. It can cause a strained or whispering voice. Hand and forearm. Some types of dystonia occur only while doing an activity over and over, such as writing or playing a musical instrument. These are known as writer's dystonia and musician's dystonia. Symptoms usually don't happen when the arm is at rest. When to see a doctor Early symptoms of dystonia often are mild, occasional and linked to a specific activity. See a member of your healthcare team if you're having muscle contractions that you can't control. Request an appointment"
Eyestrain,"Eyestrain symptoms include: Sore, tired, burning or itching eyes Watery or dry eyes Blurred or double vision Headache Sore neck, shoulders or back Increased sensitivity to light, called photophobia Difficulty concentrating Feeling that you cannot keep your eyes open When to see a doctor See an eye specialist if self-care steps don't relieve your eyestrain. Request an appointment There is a problem with
                                information submitted for this request. Review/update the
                                information highlighted below and resubmit the form. From Mayo Clinic to your inbox Sign up for free and stay up to date on research advancements, health tips, current health topics, and expertise on managing health. Click here for an email preview. Email Address 1 Error Email field is required Error Include a valid email address Learn more about Mayo Clinic’s use of data. We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in our Notice of Privacy Practices . You may opt out of email communications at any time by clicking on the unsubscribe link in the email. Subscribe! Thank you for subscribing! You'll soon start receiving the latest Mayo Clinic health information you requested in your inbox. Sorry something went wrong with your subscription Please, try again in a couple of minutes Retry"
Pectus excavatum,"For many people with pectus excavatum, the only symptom is a slight dip in their chests. In some children, the dip becomes deeper during early puberty. It can keep getting deeper into adulthood. In people with pectus excavatum, the breastbone may compress the lungs and heart. Symptoms can include: A fast-beating, fluttering or pounding heart. Chest pain. Loss of endurance that becomes worse over time. Shortness of breath or extreme tiredness during physical activity. A high-pitched whistling sound made while breathing that's triggered by exercise. Fainting or dizziness. Frequent infections of the upper airway. Stress and concern about how the chest looks. When to see a doctor See a healthcare professional if you or your child has any symptoms of pectus excavatum. This is key if the symptoms become worse or if the chest keeps becoming more sunken. Request an appointment"
Periodontitis,"Healthy gums are firm and fit snugly around teeth. The color of healthy gums can vary. They may range from light pink in some people to dark pink and brown in others. Symptoms of periodontitis can include: Swollen or puffy gums. Bright red, dark red or dark purple gums. Gums that feel tender when touched. Gums that bleed easily. A toothbrush that looks pink after brushing your teeth. Spitting out blood when brushing or flossing your teeth. Bad breath that won't go away. Pus between your teeth and gums. Loose teeth or loss of teeth. Painful chewing. New spaces that develop between your teeth that look like black triangles. Gums that pull away from your teeth, making your teeth look longer than usual, called receding gums. A change in the way your teeth fit together when you bite. When to see a dentist Follow your dentist's recommended schedule for regular checkups. If you notice any symptoms of periodontitis, make an appointment with your dentist as soon as possible. The sooner you get care, the better your chances of reversing damage from periodontitis. Request an appointment There is a problem with
                                information submitted for this request. Review/update the
                                information highlighted below and resubmit the form. From Mayo Clinic to your inbox Sign up for free and stay up to date on research advancements, health tips, current health topics, and expertise on managing health. Click here for an email preview. Email Address 1 Error Email field is required Error Include a valid email address Learn more about Mayo Clinic’s use of data. We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in our Notice of Privacy Practices . You may opt out of email communications at any time by clicking on the unsubscribe link in the email. Subscribe! Thank you for subscribing! You'll soon start receiving the latest Mayo Clinic health information you requested in your inbox. Sorry something went wrong with your subscription Please, try again in a couple of minutes Retry"
Hypothyroidism (underactive thyroid),"Thyroid gland Enlarge image Close Thyroid gland Thyroid gland The thyroid gland sits at the base of the neck. The symptoms of hypothyroidism depend on the severity of the condition. Problems tend to develop slowly, often over several years. At first, you may barely notice the symptoms of hypothyroidism, such as fatigue and weight gain. Or you may think they are just part of getting older. But as your metabolism continues to slow, you may develop more-obvious problems. Hypothyroidism symptoms may include: Tiredness. More sensitivity to cold. Constipation. Dry skin. Weight gain. Puffy face. Hoarse voice. Coarse hair and skin. Muscle weakness. Muscle aches, tenderness and stiffness. Menstrual cycles that are heavier than usual or irregular. Thinning hair. Slowed heart rate, also called bradycardia. Depression. Memory problems. Hypothyroidism in infants Anyone can get hypothyroidism, including infants. Most babies born without a thyroid gland or with a gland that doesn't work correctly don't have symptoms right away. But if hypothyroidism isn't diagnosed and treated, symptoms start to appear. They may include: Feeding problems. Poor growth. Poor weight gain. Yellowing of the skin and the whites of the eyes, a condition called jaundice. Constipation. Poor muscle tone. Dry skin. Hoarse crying. Enlarged tongue. A soft swelling or bulge near the belly button, a condition called umbilical hernia. When hypothyroidism in infants isn't treated, even mild cases can lead to severe physical and mental development problems. Hypothyroidism in children and teens In general, children and teens with hypothyroidism have symptoms similar to those in adults. But they also may have: Poor growth that leads to short stature. Delayed development of permanent teeth. Delayed puberty. Poor mental development. When to see a doctor See your health care provider if you're feeling tired for no reason or if you have other symptoms of hypothyroidism. If you're taking thyroid hormone medicine for hypothyroidism, follow your health care provider's advice on how often you need medical appointments. At first, you may need regular appointments to make sure you're receiving the right dose of medicine. Over time, you may need checkups so that your health care provider can monitor your condition and medicine. More Information Hypothyroidism and joint pain? Request an appointment There is a problem with
                                information submitted for this request. Review/update the
                                information highlighted below and resubmit the form. From Mayo Clinic to your inbox Sign up for free and stay up to date on research advancements, health tips, current health topics, and expertise on managing health. Click here for an email preview. Email Address 1 Error Email field is required Error Include a valid email address Learn more about Mayo Clinic’s use of data. We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in our Notice of Privacy Practices . You may opt out of email communications at any time by clicking on the unsubscribe link in the email. Subscribe! Thank you for subscribing! You'll soon start receiving the latest Mayo Clinic health information you requested in your inbox. Sorry something went wrong with your subscription Please, try again in a couple of minutes Retry"
Itchy skin (pruritus),"Itchy skin can affect small areas, such as the scalp, an arm or a leg. Or it can cover the whole body. Itchy skin can occur without any other noticeable changes on the skin. Or it may come with: Inflamed skin Scratch marks Bumps, spots or blisters Dry, cracked skin Leathery or scaly patches Sometimes itchiness lasts a long time and can be intense. As you rub or scratch the area, it gets itchier. And the more it itches, the more you scratch. Breaking this itch-scratch cycle can be difficult. When to see a doctor See your health care provider or a skin disease specialist (dermatologist) if the itching: Lasts more than two weeks and doesn't improve with self-care measures Is severe and distracts you from your daily routines or prevents you from sleeping Comes on suddenly and can't be easily explained Affects your whole body Comes with other symptoms, such as weight loss, fever or night sweats If the condition persists for three months despite treatment, see a dermatologist to be evaluated for skin disease. You may also need to see a doctor who specializes in internal medicine (internist) to check for other diseases. Request an appointment There is a problem with
                                information submitted for this request. Review/update the
                                information highlighted below and resubmit the form. From Mayo Clinic to your inbox Sign up for free and stay up to date on research advancements, health tips, current health topics, and expertise on managing health. Click here for an email preview. Email Address 1 Error Email field is required Error Include a valid email address Learn more about Mayo Clinic’s use of data. We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in our Notice of Privacy Practices . You may opt out of email communications at any time by clicking on the unsubscribe link in the email. Subscribe! Thank you for subscribing! You'll soon start receiving the latest Mayo Clinic health information you requested in your inbox. Sorry something went wrong with your subscription Please, try again in a couple of minutes Retry"
Patellar tendinitis,
